Vocabulary List
-----------------------------
1. Zealous - उत्साही  Ans. Enthusiastic
161. Locks - बंद करना  Ans. Shuts
162. Confused - भ्रमित होना  Ans. Puzzled
163. Glorify - प्रशंसा करना  Ans. Celebrate
164. Continue - जारी रखना  Ans. Maintain
165. Liberty - स्वतंत्रता  Ans. Freedom
166. Deceive - धोखा देना  Ans. Betray
167. Empathy - समानुभूति  Ans. Affinity
168. Converge - मिलना / एकत्र होना  Ans. Coincide
169. Remarkable - उल्लेखनीय  Ans. Noticeable
170. Subterranean - भूमिगत  Ans. Underground
171. Capricious - मनमौजी  Ans. Arbitrary
172. Small - छोटा  Ans. Slight
173. Departure - प्रस्थान  Ans. Exodus
174. Irritated - चिढ़ा हुआ  Ans. Annoyed
175. Useless - निरर्थक  Ans. Worthless
176. Gala - उत्सव  Ans. Carnival
177. Struggling - संघर्ष करना  Ans. Hustling
178. Assail - आक्रमण करना  Ans. Attack
179. Disdain - अवहेलना करना  Ans. Contempt
180. Support - समर्थन  Ans. Bolster
181. Habitant - निवासी  Ans. Denizen
182. Enthuse - उत्साहित करना  Ans. Fondle
183. Advocate - समर्थक / वकील  Ans. Support
184. Perceptions - धारणाएं  Ans. Approaches
185. Magnanimity - उदारता  Ans. Altruism
186. Quandary - दुविधा  Ans. Impasse
187. Apologetic - क्षमाप्रार्थी  Ans. Contrite
188. Slick - चिकना  Ans. Slippery
189. Laggard - आलसी  Ans. Dawdling
190. Sacrilege - अपवित्रीकरण  Ans. Blasphemy
191. Ponderous - वजनदार  Ans. Heavy
192. Ridicule - उपहास  Ans. Derision
193. Eagerly - उत्सुकतापूर्वक  Ans. Avidly
194. Anxious - चिंतित  Ans. Apprehensive
195. Gallivant - आवारागर्दी करना  Ans. Meander
196. Glib - चिकना, आसान  Ans. Easy
197. Calibrate - मापना  Ans. Gauge
198. Whimsical - मजाकिया, सनकी  Ans. Funny
199. Instigate - उभारना, उकसाना  Ans. Raise
200. Eccentric - सनकी  Ans. Idiosyncratic
201. Domicile - आवास, निवास स्थान  Ans. Home
202. Jarred - झगड़ना, संघर्ष  Ans. Altercated
203. Blasphemous - निंदात्मक, धर्मद्रोही  Ans. Disrespectful
204. Efficacy - क्षमता  Ans. Efficiency
205. Conscientious - conscientious, मेहनती  Ans. Sedulous
206. Vigorous - बलवान, फुर्तीलाक  Ans. Strenuous
207. Edacious - भूखड़, लोभी  Ans. Gluttonous
208. Hostility - शत्रुता  Ans. Enmity
209. Oblivious - अनजान, भुलक्कड़  Ans. Ignorant
210. Saboteur - तोड़-फोड़ करने वाला  Ans. Vandal
211. Pacific - शांत करना  Ans. Mollifying
212. Ferocious - भयंकर  Ans. Frightful
213. Wager - दांव लगाना  Ans. Gamble
214. Vacillate - हिचकिचाना, संदेह करना  Ans. Hesitate
215. Genial - सुखद  Ans. Cheerful

www.ssccglpinnacle.com
Download Pinnacle Exam Preparation App
Pinnacle Synonyms And Antonyms
----------------------------------------------------
216. Vault - तहखाना, गुफा  Ans. Crypt
217. Dandy - आकर्षक  Ans. Beautiful
218. Habitat - आवास  Ans. Niche
219. Cajole - बहलाना, फुसलाना  Ans. Persuade
220. Malign - हानिकारक  Ans. Baleful
221. Caginess - चालाकी  Ans. Guilefulness
222. Jape - प prank करना  Ans. Quip
223. Fortitude - साहस  Ans. Grit
224. Quail - घबरा जाना  Ans. Cringe
225. Opaque - अस्पष्ट  Ans. Arcane
226. Obliquity - अस्पष्टता  Ans. Opacity
227. Levitate - वायु में तैरना  Ans. Float
228. Fabricate - जालसाजी करना  Ans. Concoct
229. Abandonment - त्याग  Ans. Dereliction
230. Nark - सूचित करना, चिढ़ाना  Ans. Irritate
231. Remedy - उपचार करना  Ans. Panacea
232. Nascence - उत्थान  Ans. Incipience
233. Dreary - उदास  Ans. Dull
234. Ecclesial - चर्च संबंधी  Ans. Churchly
235. Unbiased - निष्पक्ष  Ans. Candid
236. Frequent - बार-बार होने वाला  Ans. Incessant
237. Shapeless - अमूर्त  Ans. Amorphous
238. Attune - अनुकूल होना  Ans. Assimilate
239. Obligation - अनिवार्य  Ans. Imperative
240. Faddish - क्षणिक  Ans. Fashionable
241. Depressed - दुःखी  Ans. Doleful
242. Elucidate - स्पष्ट करना  Ans. Explicate
243. Craven - डरपोक  Ans. Cowardly
244. Buddy - सहयोगी  Ans. Associate
245. Jejune - नीरसता  Ans. Drab
246. Wallow - लड़खड़ाना  Ans. Flounder
247. Famine - अकाल  Ans. Drought
248. Lair - छिपने की जगह, माँद  Ans. Concealment
249. Bogus - नकली  Ans. False
250. Soar - उड़ना  Ans. Fly
251. Fad - सनसनी  Ans. Sensation
252. Nacreous - चमकदार  Ans. Iridescent
253. Corrective - सुधारना  Ans. Restorative
254. Enigmatic - रहस्यमय  Ans. Mysterious
255. Decimate - नष्ट करना  Ans. Wreck
256. Oblate - भिक्षुक  Ans. Mendicant
257. Vogue - चलन में होना  Ans. Fashion
258. Advised - सलाह देना  Ans. Prescribed
259. Unacknowledged - अज्ञात  Ans. Unidentified
260. Fruition - उपलब्धि  Ans. Accomplishment
261. Partially - आंशिक रूप से  Ans. Partly
262. Debris - मलबा  Ans. Detritus
263. Spotted - प्रमाणित  Ans. Witnessed
264. Peak - शीर्ष बिंदु  Ans. Zenith
265. Blast - धमाका  Ans. Blow up
266. Colloquial - बोलचाल का  Ans. Conversational
267. Conceal - छिपाना  Ans. Hide
268. Bankrupt - दिवालिया  Ans. Insolvent
269. Sumptuous - वैभवशाली  Ans. Lavish
270. Rejuvenate - फिर से जवान करना  Ans. Refresh
271. Lustre - आभा, चमक  Ans. Shine
272. Abundant - प्रचुर  Ans. Ample
273. Ideal - आदर्श  Ans. Excellent
274. Orifice - मुहाना, छिद्र  Ans. Opening
275. Drowsy - सुस्त  Ans. Sleepy

Pinnacle Synonyms And Antonyms
----------------------------------------------------
276. Conviction - दोषिस्थिति, धारणा  Ans. Belief
277. Prosperity - समृद्धि  Ans. Richness
278. Compact - सघन  Ans. Dense
279. Benevolent - परोपकारी  Ans. Gracious
280. Exciting - रोमांचक  Ans. Electrifying
281. Conquer - जीत, विजयी  Ans. Defeat
282. Omnipresent - सर्वव्यापी  Ans. Universal
283. Auspicious - शुभ  Ans. Fortunate
284. Yields - पैदावार  Ans. Produces
285. Dazzling - चकाचौंध  Ans. Brilliant
286. Cocoon - कोष  Ans. Encasement
287. Austere - सीधा-सादा, कठोर  Ans. Strict
288. Aghast - भौचक्का  Ans. Horrified
289. Firewall - एक रक्षा दीवार  Ans. Bulwark
290. Perturbed - घबरा देना  Ans. Disturbed
291. Contagion - छूत  Ans. Infection
292. Negative - नकारात्मक  Ans. Adverse
293. Palpable - विश्वासनीय  Ans. Detectable
294. Dodge - चकमा  Ans. Cheat
295. Manifest - उद्घाटन  Ans. Apparent
296. Exterminate - विनाश  Ans. Eradicate
297. Espoused - समर्थन  Ans. Adopted
298. Narrow - सँकरा  Ans. Cramped
299. Declining - घटाना  Ans. Decreasing
300. Courage - साहस  Ans. Valor
301. Static - स्थिर  Ans. Inert
302. Futile - असफल  Ans. Unsuccessful
303. Titan - बहुत बड़ा  Ans. Giant
304. Despise - घृणा  Ans. Dislike
305. Annoy - चिढ़ाना  Ans. Irritate
306. Sombre - निराशाजनक  Ans. Doleful
307. Brazen - बेशर्म  Ans. Bold
308. Perilous - जोखिम  Ans. Dangerous
309. Immune - प्रतिरोधी  Ans. Resistant
310. Allude - संकेत करना  Ans. Refer
311. Sailor - नाविक  Ans. Mariner
312. Hallway - गिलयारा  Ans. Aisle
313. Forbore - रोकना  Ans. Refrain
314. Admit - स्वीकार किया  Ans. Acknowledged
315. Eligible - योग्य  Ans. Qualified
316. Ample - प्रचुर  Ans. Sufficient
317. Affliction - कष्ट  Ans. Bane
318. Nasty - बहुत खराब  Ans. Despicable
319. Indebted - ऋणी  Ans. Thankful
320. Proficient - अनुभवी, कुशल  Ans. Skillful
321. Enough - पर्याप्त  Ans. Sufficient
322. Stroll - चहल कदमी  Ans. Saunter
323. Solitude - अकेलापन  Ans. Seclusion
324. Sedulous - परिश्रमी  Ans. Diligent
325. Handy - सुविधाजनक  Ans. Useful
326. Burgled - चोरी  Ans. Looted
327. Mean - कम मूर्ख का  Ans. Greedy
328. Beautiful - सुंदर  Ans. Pretty
329. Heyday - आनंद का समय  Ans. Prime
330. Annoyance - चिढ़  Ans. Anger
331. Gloomy - उदास  Ans. Unhappy
332. Stratified - परतों में विभाजित  Ans. Laminated
333. Strict - कठोर  Ans. Austere
334. Bargain - मोलभाव करना  Ans. Deal
335. Commerce - व्यापार  Ans. Trade
336. Pious - धर्मनिष्ठ  Ans. Devout
337. Debonair - खुशमिजाज  Ans. Happy
Pinnacle Synonyms And Antonyms
----------------------------------------------------
338. Curious - जिज्ञासु  Ans. Inquisitive
339. Reckon - समझना, अनुमान करना  Ans. Think
340. Noble - महान  Ans. Dignified
341. Hearth - चूल्हा  Ans. Fireside
342. Entrap - फंदे में फंसना  Ans. Implicate
343. Glimpse - झलक  Ans. Glance
344. Alight - आग लगाना  Ans. Descend
345. Grief - दुख  Ans. Anguish
346. Daunt - डराना, निराश करना  Ans. Discourage
347. Counsel - सलाह  Ans. Advice
348. Plead - निवेदन करना  Ans. Beseech
349. Compulsion - बाध्यता  Ans. Obligation
350. Serpentine - टेढ़ा  Ans. Zigzag
351. Solitary - अकेला  Ans. Single
352. Progress - प्रगति  Ans. Betterment
353. Ruthless - क्रूर  Ans. Merciless
354. Blunt - मुंहफट  Ans. Dull
355. Esteem - आदर  Ans. Respect
356. Adamant - अटल  Ans. Stubborn
357. Salty - नमकीन  Ans. Saline
358. Early - जल्दी  Ans. Beforehand
359. Blend - मिलाना  Ans. Fusion
360. Nepotism - भाई-भतीजावाद  Ans. Favoritism
361. Lassitude - अवसाद, सुस्ती  Ans. Weariness
362. Queer - विचित्र  Ans. Strange
363. Competent - सक्षम  Ans. Capable
364. Fascinating - आकर्षक, मनोहर  Ans. Interesting
365. Hesitation - संदेह, दुविधा  Ans. Reluctance
366. Enmity - दुश्मनी, द्वेष  Ans. Hostility
367. Cherish - अन्न लगना  Ans. Admire
368. Privilege - विशेष अधिकार  Ans. Honour
369. Startled - भौंचक्का  Ans. Frightened
370. Incompetent - अयोग्य, अपूर्ण  Ans. Inefficient
371. Attain - प्राप्त करना  Ans. Achieve
372. Benevolent - परोपकारी  Ans. Malevolent
373. Cheerless - निराश, उदास  Ans. Gloomy
374. Fleeting - क्षणिक, अस्थायी  Ans. Brief
375. Antagonist - प्रतिकूल, शत्रु  Ans. Adversary
376. Vacate - छोड़ना, मुक्ति देना  Ans. Depart
377. Impartial - निष्पक्ष, सच्चा  Ans. Fair
378. Deficient - कम, दोषयुक्त  Ans. Insufficient
379. Decay - सड़न, नाश  Ans. Degeneration
380. Swindle - धोखा, ठगी  Ans. Fraud
381. Calamity - आपदा, संकट  Ans. Disaster
382. Slack - मंदी, निष्क्रिय  Ans. Inactive
383. Brusque - रूखा, अति संक्षिप्त  Ans. Abrupt
384. Accomplish - पूरा करना  Ans. Achieve
385. Grandeur - महिमा, शोभा  Ans. Magnificence
386. Paused - विराम  Ans. Halted
387. Judicious - न्याय संगत, चतुर  Ans. Thoughtful
388. Propel - प्रवाहित करना  Ans. Move
389. Wily - कपटी, चतुर  Ans. Crafty
390. Disclose - दिखाना, बताना  Ans. Revealed
391. Amputate - काट डालना  Ans. Sever
392. Graphic - सजीव, स्पष्ट  Ans. Vivid
393. Leap - कूदना, छलांग मारना  Ans. Hop
394. Bliss - आनंद, खुशी  Ans. Joy
395. Frantic - पागल, उत्तेजित  Ans. Violent
396. Capitulate - झुकना  Ans. Surrender
397. Impress - प्रभाव डालना  Ans. Influence
398. Stimulate - प्रोत्साहित करना  Ans. Energise
399. Supreme - सर्वोच्च, महान  Ans. Paramount
400. Gigantic - विशाल, भारी  Ans. Colossal
Pinnacle Synonyms And Antonyms
----------------------------------------------------
401. Conﬁned - सीमित  Ans. Diluted
402. Rudimentary - मूल, प्राथमिक  Ans. Elementary
403. Endeavours - प्रयास  Ans. Efforts
404. Introvert - अंतर्मुखी  Ans. Shy
405. Valid - वैध, सही  Ans. Logical
406. Fair - सही, वैध  Ans. Reasonable
407. Peak - चोटी, शिखर  Ans. Zenith
408. Hypocrisy - ढोंग, कपट  Ans. Trickery
409. Obliterate - मिटाना, मिटा देना  Ans. Erase
410. Objective - उद्देश्य, बाहरी  Ans. Purpose
411. Elaborate - विस्तार में कहना  Ans. Intricate
412. Confusion - उलझन,混乱  Ans. Commotion
413. Competent - सक्षम, निपुण  Ans. Capable
414. Announce - घोषणा करना  Ans. Advertise
415. Sporadic - छिट-पुट, कहीं-कहीं  Ans. Occasional
416. Transient - अस्थायी, क्षणिक  Ans. Temporary
417. Moral - नैतिक, आचार  Ans. Ethical
418. Delectable - सुहावना, आनंदकर  Ans. Delicious
419. Exaltation - उमंग, उत्साह  Ans. Ecstasy
420. Illness - बीमारी, अस्वस्थता  Ans. Sickness
421. Nexus - बंधन, कड़ी  Ans. Link
422. Mutate - रूप बदलना, परिवर्तन होना  Ans. Change
423. Satisfaction - संतोष, समाधान  Ans. Contentment
424. Deliberate - जानबूझकर, विचारपूर्वक  Ans. Planned
425. Magnify - बढ़ाना, विस्तार करना  Ans. Expand
426. Remorse - पछतावा, आत्मा की पीड़ा  Ans. Repentance
427. Stagnant - गतिहीन, स्थिर  Ans. Motionless
428. Perils - जोखिम, आपदा  Ans. Hazards
429. Void - खालीपन, अभाव  Ans. Gap
430. Obligatory - अनिवार्य, बाध्यकारी  Ans. Compulsory
431. Hysterical - उन्मत्त, हास्यजनक  Ans. Funny
432. Inundated - बाढ़ से भरा, अभिभूत  Ans. Overwhelmed
433. Keen - उत्सुक, उत्साही  Ans. Enthusiastic
434. Perseverance - दृढ़ता, हठ  Ans. Steadfastness
435. Amend - संशोधन करना, सुधारना  Ans. Rectify
436. Impede - बाधा डालना, रोकना  Ans. Hinder
437. Vivacious - फुर्तिला, तेज़  Ans. Energetic
438. Mercy - दया, तरस  Ans. Clemency
439. Tyranny - अत्याचार, अधिनायकवाद  Ans. Autocracy
440. Superficial - सतही, ऊपरी  Ans. Shallow
441. Plausible - प्रशंसनीय, विश्वसनीय  Ans. Credible
442. Wrathful - क्रोधित, आगबबूला  Ans. Furious
443. Old - पुराना, वृद्ध  Ans. Aged
444. Consensus - सर्वसम्मति, आम राय  Ans. Agreement
445. Conspire - मिल जाना, षड्यंत्र रचना  Ans. Plot
446. Fatigue - थकान, परिश्रम  Ans. Tiredness
447. Belief - विश्वास, भरोसा  Ans. Faith
448. Inherent - अंतर्निहित, जन्मजात  Ans. Inborn
449. Anticipated - पूर्वानुमानित  Ans. Predicted
450. Imparts - देना, बताना  Ans. Transmits
451. Lighting up - प्रकाश करना, रोशन करना  Ans. Illuminating
452. Judicious - विवेकपूर्ण, उचित  Ans. Extravagant
453. Concise - संक्षिप्त, लघु  Ans. Terse
454. Flout - अवज्ञा, अनादर करना  Ans. Mock
455. Obscene - अश्लील, गंदा  Ans. Dirty
456. Ponder - चिंतन करना, सोचना  Ans. Contemplate
457. Retaliated - जवाबी कार्रवाई, बदला लेना  Ans. Reciprocated
458. Erroneous - गलत, अशुद्ध  Ans. Inaccurate
459. Instilled - विश्वास देना, मन में बैठाना  Ans. Inculcate
460. Empty - खाली, रिक्त  Ans. Void
Pinnacle Synonyms And Antonyms
----------------------------------------------------
461. Wavering - डगमगाना, लहराना  Ans. Fluctuating
462. Abundant - प्रचुर, बेशुमार  Ans. Ample
463. Concealed - छिपाना, गुंज रखना  Ans. Disguised
464. Frugal - मितव्ययी, किफायती  Ans. Economical
465. Calamity - आपदा, विपत्ति  Ans. Catastrophe
466. Demolish - ध्वस्त करना, ढहाना  Ans. Ruin
467. Chary - होशियार, सावधान  Ans. Cautious
468. Encountered - सामना करना, मुठभेड़  Ans. Experiencing
469. Anger - क्रोध, गुस्सा  Ans. Fury
470. Apex - सर्वोच्च, शिखर  Ans. Pinnacle
471. Hoodwinked - धोखा देना, बहकाना  Ans. Deceived
472. Permeate - बिखरना, छिड़कना  Ans. Diffuse
473. Answer - उत्तर, जवाब देना  Ans. Reply
474. Irrevocable - अपरिवर्तनीय, अटल  Ans. Irreversible
475. Boon - वरदान, लाभ  Ans. Beneficial
476. Ignoble - नीच, अकुलीन  Ans. Unworthy
477. Guile - छल-कपट, माया  Ans. Deceit
478. Request - प्रार्थना, अनुरोध करना  Ans. Plea
479. Muddy - मैला, धुंधला  Ans. Filthy
480. Vivid - जीवंत, चमकदार  Ans. Evocative
481. Futile - व्यर्थ, निरर्थक  Ans. Fruitless
482. Distant - दूरस्थ, दूर का  Ans. Faraway
483. Eccentric - विचित्र, अनोखा  Ans. Peculiar
484. Declined - अस्वीकार करना, गिरना  Ans. Rejected
485. Chide - डांटना, धमकी देना  Ans. Scold
486. Camouflage - वेश बदलना  Ans. Disguise
487. Vice - अधर्म  Ans. Immorality
488. Cumbersome - भारी, भद्दा  Ans. Clumsy
489. Knave - धोखेबाज़  Ans. Rogue
490. Fortitude - साहस  Ans. Bravery
491. Lucky - शुभ  Ans. Auspicious
492. Erudite - विद्वान  Ans. Scholarly
493. Audacious - साहसी  Ans. Brave
494. Aplomb - आत्मविश्वास  Ans. Self-assurance
495. Bewilderment - हक्का-बक्का होना  Ans. Confusion
496. Dwindle - कम करना  Ans. Reduce
497. Flaw - दोष  Ans. Defect
498. Fastidious - तुनुक-मिजाज  Ans. Careful
499. Rendezvous - पूर्वनिर्धारित मुलाकात  Ans. Pre-arranged meeting
500. Bibliophile - पुस्तक प्रेमी  Ans. Booklover
501. Flagitious - अपराधी  Ans. Criminal
502. Facile - सरल  Ans. Oversimplified
503. Organizing - संगठनकारी  Ans. Coordinating
504. Abandon - त्याग देना  Ans. Relinquish
505. Sycophant - चापलूस  Ans. Flatterer
506. Gregarious - मिलनसार  Ans. Sociable
507. Utmost - अधिकतम  Ans. Greatest
508. Dulcet - सुरीला  Ans. Sweet and soothing
509. Yield - उत्पन्न करना  Ans. Produce
510. Seizure - क़ब्ज़ा करना  Ans. Capture
511. Imbued - भर देना  Ans. Filled
512. Viable - व्यवहार्य  Ans. Feasible
513. Capable - योग्य  Ans. Suitable
514. Ignominy - बदनामी  Ans. Dishonor
515. Crude - कच्चा  Ans. Natural
516. Exaggeration - अतिशयोक्ति  Ans. Amplification
517. Savoury - स्वादिष्ट  Ans. Sweet
518. Pardonable - माफ़ करने योग्य  Ans. Venial
519. Confess - स्वीकार करना  Ans. Acknowledge
520. Obligation - कर्तव्य  Ans. Duty
Pinnacle Synonyms And Antonyms
----------------------------------------------------
521. Omission - मिटाना  Ans. Deletion
522. Naughty - शरारती  Ans. Impish
523. Delegate - प्रतिनिधि  Ans. Representative
524. Compunction - पछतावा  Ans. Remorse
525. Observe - ध्यान देना  Ans. Watch
526. Miscellaneous - अनेक प्रकार के  Ans. Various
527. Lucid - समझने योग्य  Ans. Comprehensible
528. Gullible - सीधा-सादा  Ans. Naive
529. Nimble - फुर्तीला  Ans. Agile
530. Clairvoyant - भविष्यसूचक  Ans. Prophetic
531. Catalyst - उत्प्रेरक  Ans. Activator
532. Ruin - बर्बाद करना  Ans. Despoil
533. Radiant - चमकीला  Ans. Glowing
534. Glee - उल्लास  Ans. Mirth
535. Prodigal - खर्चीला  Ans. Extravagant
536. Populous - जनपूर्ण  Ans. Crowded
537. Lethargy - सुस्ती  Ans. Hebetude
538. Peril - जोखिम  Ans. Danger
539. Erudite - विद्वान  Ans. Scholarly
540. Impasse - गतिरोध  Ans. Deadlock
541. Prohibit - निषेध  Ans. Ban
542. Restrain - नियंत्रित करना  Ans. Constrain
543. Guilt - अपराध  Ans. Remorse
544. Progress - प्रगति  Ans. Development
545. Application - आवेदन  Ans. Implementation
546. Impute - आरोप लगाना  Ans. Attribute
547. Consciousness - चेतना  Ans. Awareness
548. Addicted - वशीभूत  Ans. Inclined
549. Hoax - छल  Ans. Trick
550. Penchant - लगन  Ans. Liking
